PLAYER_ID,FG_K_1,FG_K_2,FG_K_3,FG_K_4,FG_K_5,FG_K_6,FG_K_7,FG_K_8,FG_K_9,FG_K_10,FG_K_11,FG_K_12
201942,0.519650655,0.577142857,0.487179487,0.517241379,0.6,0.2,0, , , , , 
201943,0.469453376,0.398230088,0.342857143,0.181818182,1,0, , , , , , 
201945,0.503424658,0.434782609,0.514285714,0.1875,0.5,0, , , , , , 
201946,0.464788732,0.52,0.5,0.5,1,0, , , , , , 
201947,0.432432432,0.346153846,0.428571429,0.5,0, , , , , , , 
201948,0.526315789,0.833333333,0.25,0, , , , , , , , 
201949,0.524752475,0.302325581,0.3,0, , , , , , , , 
201950,0.503267974,0.526315789,0.454545455,0.25,0, , , , , , , 
201951,0.5256917,0.436893204,0.441176471,0.363636364,0, , , , , , , 
201952,0.513595166,0.5,0.510204082,0.529411765,0.125,0, , , , , , 
201953,0.333333333,0.666666667,0.333333333,0, , , , , , , , 
201954,0.570212766,0.519230769,0.571428571,0.631578947,0.777777778,1,0.333333333,0, , , , 
201956,0.440298507,0.47826087,0.6,0.285714286,0, , , , , , , 
201957,0.566037736,0.416666667,0.571428571,0.333333333,0, , , , , , , 
201959,0.578778135,0.529411765,0.509090909,0.55,0.333333333,0.5,0, , , , , 
201960,0.595454545,0.568627451,0.725,0.47826087,0.714285714,0.25,0, , , , , 
201961,0.340909091,0.333333333,0.333333333,0, , , , , , , , 
201962,0.362068966,0.375,0.2,0, , , , , , , , 
201964,0.333333333,1,0.5,0, , , , , , , , 
201965,0.493506494,0.555555556,0.363636364,0, , , , , , , , 
201967,0.497206704,0.507692308,0.333333333,0.5,0, , , , , , , 
201971,0.636363636,0.597222222,0.515151515,0.583333333,0.4,0, , , , , , 
201973,0.445945946,0.36,0.125,0, , , , , , , , 
201975,0.572368421,0.616,0.474576271,0.454545455,0.5,0.666666667,1,0, , , , 
201976,0.476190476,0.375,0.4375,0.4,0, , , , , , , 
201977,0.459016393,0.376811594,0.523809524,0.666666667,1,1,0, , , , , 
201978,0.2875,0.25,0.5,1,0, , , , , , , 
201979,0.429906542,0.282051282,0.444444444,0.666666667,1,0, , , , , , 
201980,0.536585366,0.52173913,0.708333333,0.333333333,1,0.5,0, , , , , 
201985,0.25,0, , , , , , , , , , 
201986,0.42,0.466666667,0.166666667,0, , , , , , , , 
201988,0.547008547,0.593406593,0.386363636,0.538461538,0.75,0, , , , , , 
202066,0.155555556,0.166666667,0, , , , , , , , , 
202083,0.539877301,0.443609023,0.372093023,0, , , , , , , , 
202087,0.407894737,0.346153846,0.8,0, , , , , , , , 
202091,0.210526316,0.333333333,0, , , , , , , , , 
202130,0.666666667,0, , , , , , , , , , 
202197,0, , , , , , , , , , , 
202322,0.557919622,0.538461538,0.602739726,0.575757576,0.571428571,0.6,0, , , , , 
202323,0.552795031,0.559701493,0.563636364,0.44,0.555555556,1,0.5,0, , , , 
202324,0.595744681,0.515873016,0.469387755,0.388888889,0.4,0, , , , , , 
202325,0.44549763,0.507042254,0.481481481,0.444444444,0, , , , , , , 
202326,0.638554217,0.587064677,0.627906977,0.523809524,0.714285714,0.222222222,1,0, , , , 
202327,0.319148936,0.5,0, , , , , , , , , 
202328,0.580052493,0.597560976,0.585714286,0.419354839,0.3,0, , , , , , 
202329,0.556213018,0.410958904,0.375,0.428571429,0.5,0, , , , , , 
202330,0.496932515,0.508196721,0.44,0.666666667,0.375,0.5,0, , , , , 
202331,0.520383693,0.481707317,0.4,0.6,0.75,0.5,0, , , , , 
202332,0.48,0.714285714,0, , , , , , , , , 
202333,0.551401869,0.534883721,0.411764706,0.166666667,0, , , , , , , 
202334,0.550847458,0.595744681,0.476190476,0.375,0.5,0, , , , , , 
202335,0.5,0.590163934,0.5,0.272727273,0.5,0, , , , , , 
202336,0.660377358,0.642857143,0.785714286,0.875,0.8,1,0, , , , , 
202337,0.634146341,0.35,0.166666667,0, , , , , , , , 
202338,0.464285714,0.433333333,0.4,0.333333333,0, , , , , , , 
202339,0.577889447,0.634146341,0.463414634,0.615384615,0.333333333,0, , , , , , 
202340,0.541516245,0.58974359,0.679245283,0.769230769,0.666666667,0.625,1,0.5,0, , , 
202341,0.517094017,0.489361702,0.542857143,0.533333333,0.8,0.333333333,0, , , , , 
202343,0.476190476,0.394736842,0.25,0, , , , , , , , 
202344,0.619047619,0.666666667,0.583333333,0.4375,0.333333333,1,0, , , , , 
202345,0, , , , , , , , , , , 
202347,0.4,0.444444444,1,1,1,0, , , , , , 
202348,0.503968254,0.572916667,0.571428571,0.578947368,0.75,0.6,1,1,0, , , 
202349,0.530805687,0.569767442,0.605263158,0.75,0.714285714,0, , , , , , 
202350,0.3125,0, , , , , , , , , , 
202361,0.315789474,0.2,0, , , , , , , , , 
202362,0.58974359,0.562043796,0.5,0.565217391,0.75,0.2,0, , , , , 
202363,0.321428571,0.125,0, , , , , , , , , 
202379,0.549618321,0.538461538,0.347826087,0.428571429,1,1,0, , , , , 
202380,0, , , , , , , , , , , 
202388,0.277777778,0.25,0, , , , , , , , , 
202389,0.607655502,0.536842105,0.463414634,0.75,0.25,1,0, , , , , 
202390,0.44966443,0.481481481,0.722222222,0.5,0.5,1,0, , , , , 
202391,0.556561086,0.537634409,0.540540541,0.411764706,0.8,0.666666667,1,0, , , , 
202397,0.397849462,0.428571429,0.272727273,1,1,0, , , , , , 
202399,0.547169811,0.456521739,0.642857143,0.285714286,0, , , , , , , 
202412,0.5,0.555555556,0.75,1,1,0, , , , , , 
202498,0, , , , , , , , , , , 
202620,0, , , , , , , , , , , 
202681,0.496296296,0.529411765,0.55,0.461538462,0.555555556,0.666666667,0, , , , , 
202682,0.458064516,0.433962264,0.25,0.5,1,0, , , , , , 
202683,0.630573248,0.643835616,0.583333333,0.625,0.666666667,0.625,1,0.5,0, , , 
202684,0.627819549,0.57480315,0.622641509,0.52,0.5,0.5,1,0, , , , 
202685,0.617100372,0.622047244,0.689655172,0.612903226,0.769230769,0.571428571,0.333333333,0, , , , 
202686,0.507462687,0.48,0.333333333,0, , , , , , , , 
202687,0.546875,0.392857143,0.444444444,1,0, , , , , , , 
202688,0.525862069,0.536764706,0.464285714,0.5,0.125,0, , , , , , 
202689,0.507374631,0.550387597,0.518518519,0.5,0.555555556,0.75,1,1,0, , , 
202690,0.457831325,0.551724138,0.583333333,0.6,0.5,0, , , , , , 
202691,0.541871921,0.50877193,0.567164179,0.620689655,0.692307692,0.8,0, , , , , 
202692,0.578397213,0.630252101,0.5,0.45,0.125,0, , , , , , 
202693,0.630363036,0.597222222,0.590909091,0.655172414,0.6,0.625,1,1,1,1,0, 
202694,0.585714286,0.516483516,0.416666667,0.333333333,0.333333333,0, , , , , , 
202695,0.672064777,0.598425197,0.637931034,0.703703704,0.692307692,0.5,0, , , , , 
202696,0.606177606,0.660869565,0.596491228,0.517241379,0.909090909,0.857142857,0.75,0.5,0, , , 
202697,0.463768116,0.446808511,0.235294118,0, , , , , , , , 
202698,0.3,0.2,0, , , , , , , , , 
202699,0.574380165,0.449541284,0.5,0.615384615,0.333333333,0, , , , , , 
202700,0.470588235,0.513513514,0.615384615,0.333333333,0, , , , , , , 
202702,0.67761194,0.680473373,0.670588235,0.6,0.789473684,0.7,0.4,0, , , , 
202704,0.508143322,0.538461538,0.510638298,0.470588235,0.142857143,0, , , , , , 
202705,0.545454545,0.578947368,0.75,0.75,0.5,0, , , , , , 
202706,0.365217391,0.454545455,0.545454545,0.5,0, , , , , , , 
202708,0.487179487,0.448275862,0.380952381,0.6,0, , , , , , , 
202709,0.451612903,0.314285714,0.5,0.333333333,0, , , , , , , 
202710,0.492610837,0.465753425,0.25,0.166666667,0, , , , , , , 
202713,0.487684729,0.527027027,0.5,0.272727273,0, , , , , , , 
202714,0.470588235,0.41509434,0.15,0.5,0, , , , , , , 
202718,0.590778098,0.585987261,0.637681159,0.636363636,0.588235294,0.857142857,0.6,1,1,0, , 
202719,0.613636364,0.523809524,0.625,0.666666667,0, , , , , , , 
202720,0.586956522,0.609756098,0.666666667,0.555555556,0.666666667,0, , , , , , 
202721,0.413793103,0.181818182,1,0, , , , , , , , 
202725,0.379310345,0.444444444,0.666666667,1,0, , , , , , , 
202730,0.444444444,0.305555556,0.3,1,1,0, , , , , , 
202732,0, , , , , , , , , , , 
202734,0.469387755,0.471698113,0.45,0.666666667,0.333333333,0, , , , , , 
202738,0.577903683,0.509433962,0.631578947,0.4,0.666666667,0.75,0.5,0, , , , 
202779,0.153846154,0, , , , , , , , , , 
202874,0.666666667,0.444444444,1,1,1,0, , , , , , 
202933,0.6,0.5,0, , , , , , , , , 
202952,0.6,0.5,0, , , , , , , , , 
202962,0.692307692,0.5,1,1,1,0, , , , , , 
202970,0.694444444,0.578947368,0.555555556,1,0.5,0, , , , , , 
203076,0.685185185,0.642105263,0.595505618,0.512820513,0.352941176,0.75,0.5,0, , , , 
203077,0.467741935,0.536585366,0.277777778,0.25,0, , , , , , , 
203078,0.554285714,0.517006803,0.50877193,0.416666667,0.714285714,0.666666667,0, , , , , 
203079,0.541033435,0.641221374,0.587301587,0.615384615,0.416666667,0.25,0, , , , , 
203080,0.548076923,0.465116279,0.428571429,0, , , , , , , , 
203081,0.494004796,0.466257669,0.6,0.461538462,0.625,0.25,0, , , , , 
203082,0.5,0.443181818,0.3125,0.428571429,0, , , , , , , 
203083,0.722063037,0.687830688,0.683673469,0.744680851,0.576923077,0.545454545,0.5,0, , , , 
203084,0.504901961,0.52,0.366666667,0.222222222,0, , , , , , , 
203085,0.468531469,0.346153846,0.2,0, , , , , , , , 
203086,0.40625,0.4,0.333333333,0, , , , , , , , 
203087,0.414634146,0.417910448,0.476190476,0.428571429,0, , , , , , , 
203088,0.448818898,0.291666667,0.5,0.25,0, , , , , , , 
203089,0.596774194,0.550458716,0.456521739,0.4375,0.4,0, , , , , , 
203090,0.456140351,0.482758621,0.333333333,0.666666667,0.666666667,1,0, , , , , 
203092,0.603603604,0.519230769,0.571428571,0.75,0.5,0, , , , , , 
203093,0.663194444,0.628378378,0.694444444,0.743589744,0.818181818,0.846153846,0.666666667,0.8,1,1,1,0
203094,0.442028986,0.510638298,0.526315789,0.714285714,0.5,1,0, , , , , 
203095,0.538922156,0.470588235,0.384615385,0.571428571,0.333333333,0, , , , , , 
203096,0.544827586,0.594827586,0.509433962,0.523809524,0.714285714,0.25,0, , , , , 
203098,0.384615385,0.666666667,0, , , , , , , , , 
203099,0, , , , , , , , , , , 
203100,0.473484848,0.46875,0.444444444,0.636363636,0.4,0, , , , , , 
203101,0.568075117,0.52173913,0.513513514,0.615384615,0.333333333,0, , , , , , 
203102,0.333333333,0, , , , , , , , , , 
203103,0.444444444,0.45,0.125,0, , , , , , , , 
203104,0.21875,0.166666667,0, , , , , , , , , 
203106,0.296875,0.1875,0, , , , , , , , , 
203108,0.375,0, , , , , , , , , , 
203109,0.504950495,0.578947368,0.6,0.285714286,0, , , , , , , 
203110,0.331081081,0.378378378,0.166666667,0, , , , , , , , 
203111,0.206896552,0.5,0, , , , , , , , , 
203112,0.458333333,0.294117647,0, , , , , , , , , 
203113,0.356164384,0.217391304,0.5,1,0, , , , , , , 
203114,0.519572954,0.508928571,0.56097561,0.411764706,0.166666667,0, , , , , , 
203115,0.4,0.3125,0.25,0, , , , , , , , 
203116,0.409090909,0.285714286,0, , , , , , , , , 
203117,0.326923077,0.461538462,0.4,1,0, , , , , , , 
203118,0.484581498,0.55952381,0.583333333,0.555555556,0.875,0.833333333,1,1,1,1,0, 
203120,0.5,0, , , , , , , , , , 
203121,0.421052632,0.421052632,0.5,0.5,0, , , , , , , 
203124,0.486486486,0.62962963,0.64,0.538461538,0.8,0.666666667,1,0, , , , 
203129,0, , , , , , , , , , , 
203133,0.326923077,0.133333333,0, , , , , , , , , 
203135,0.464285714,0.567567568,0.333333333,0.75,0.5,0, , , , , , 
203136,0.25,0, , , , , , , , , , 
203138,0.455223881,0.558139535,0.315789474,0.2,0, , , , , , , 
203139,0.142857143,0, , , , , , , , , , 
203141,0.451807229,0.589285714,0.56,0.545454545,0.75,0.5,0, , , , , 
203142,0.394736842,0.333333333,0.333333333,0, , , , , , , , 
203143,0.348484848,0.210526316,0, , , , , , , , , 
203144,0.322033898,0.117647059,0, , , , , , , , , 
203145,0.401709402,0.514285714,0.375,1,1,0, , , , , , 
203146,0, , , , , , , , , , , 
203148,0.486338798,0.417910448,0.25,0.4,1,0, , , , , , 
203156,0.514851485,0.58974359,0.555555556,0.555555556,1,1,1,1,0, , , 
203183,0.5,0, , , , , , , , , , 
203187,0.446153846,0.409090909,0.285714286,0, , , , , , , , 
203197,0.4,0.52,0.666666667,0.4,1,0, , , , , , 
203263,0.3,0, , , , , , , , , , 
203268,0.722222222,0.666666667,0.5,0, , , , , , , , 
203315,0.276595745,0.4,0.333333333,0, , , , , , , , 
203318,0.222222222,0, , , , , , , , , , 
203382,0.357142857,0.3125,0.25,0, , , , , , , , 
203458,0.384615385,0.428571429,0, , , , , , , , , 
203459,0.3,0.5,0, , , , , , , , , 
203460,0.296296296,0.333333333,0, , , , , , , , , 
203461,0.4375,0.631578947,0.3,0.5,0, , , , , , , 
203462,0.473684211,0.380952381,0.285714286,1,0, , , , , , , 
203463,0.467391304,0.378787879,0.238095238,0.25,0, , , , , , , 
203467,0.5,1,1,0, , , , , , , , 
203468,0.448275862,0.5,0.571428571,0.333333333,0, , , , , , , 
203469,0.5,0.34,0.416666667,0, , , , , , , , 
203471,0.352941176,0.058823529,0, , , , , , , , , 
203473,0.225806452,0, , , , , , , , , , 
203474,0, , , , , , , , , , , 
203476,0.460674157,0.515151515,0.818181818,0.5,0, , , , , , , 
203477,0.296296296,0.666666667,0.666666667,1,0, , , , , , , 
203479,0.454545455,0, , , , , , , , , , 
203480,0.666666667,0, , , , , , , , , , 
203481,0.452830189,0.4,0.8,0.333333333,0, , , , , , , 
203482,0.537142857,0.507042254,0.481481481,0.363636364,0.666666667,1,0, , , , , 
203484,0.5,0.377358491,0.5,0.166666667,0, , , , , , , 
203485,0.130434783,0, , , , , , , , , , 
203486,0.673469388,0.722222222,0.641025641,0.705882353,0.444444444,0.333333333,0, , , , , 
203487,0.49375,0.430894309,0.418604651,0.666666667,0.333333333,0, , , , , , 
203488,0.375,0.285714286,0, , , , , , , , , 
203489,0.404580153,0.395348837,0.538461538,0.5,1,1,0, , , , , 
203490,0.206896552,0.5,0, , , , , , , , , 
203491,0.266666667,0.333333333,0, , , , , , , , , 
203492,0.4625,0.225806452,0.166666667,0, , , , , , , , 
203493,0.314285714,0.333333333,0.5,0, , , , , , , , 
203495,0.2,0, , , , , , , , , , 
203496,0, , , , , , , , , , , 
203497,0.25,0.8,0.333333333,0, , , , , , , , 
203498,0.413043478,0.571428571,0.5,0.5,0, , , , , , , 
203499,0.30952381,0.3,0, , , , , , , , , 
203500,0.386666667,0.47826087,0.625,0.5,1,0, , , , , , 
203501,0.508849558,0.545454545,0.552631579,0.785714286,0.571428571,0, , , , , , 
203502,0, , , , , , , , , , , 
203503,0.4375,0.305555556,0.714285714,0.25,0, , , , , , , 
203504,0.471264368,0.5,0.416666667,0.454545455,0.25,0, , , , , , 
203505,0, , , , , , , , , , , 
203506,0.496527778,0.477477477,0.5,0.625,0.714285714,0.666666667,0, , , , , 
203507,0.384615385,0.209302326,0.285714286,0, , , , , , , , 
203508,0.2,0, , , , , , , , , , 
203513,0, , , , , , , , , , , 
203515,0.338709677,0.294117647,0.25,0, , , , , , , , 
203517,0.166666667,0, , , , , , , , , , 
203519,0.2,0, , , , , , , , , , 
203521,0.445652174,0.363636364,0.444444444,0.333333333,0, , , , , , , 
203524,0.5,0.2,0, , , , , , , , , 
203527,0.369747899,0.243243243,0.285714286,0, , , , , , , , 
203539,0.375,0.428571429,0.5,0, , , , , , , , 
203540,0.28,0.166666667,0, , , , , , , , , 
203543,0.5,0.470588235,0.142857143,0, , , , , , , , 
203544,0.381443299,0.5,0.666666667,1,0.666666667,0, , , , , , 
203545,0.5,0.5,0.5,0.666666667,1,0, , , , , , 
203546,0.227272727,0.25,0, , , , , , , , , 
203552,0, , , , , , , , , , , 
203561,0.380952381,0.384615385,0.666666667,0, , , , , , , , 
203569,0.142857143,0, , , , , , , , , , 
203584,0.666666667,0.833333333,0.75,1,1,0, , , , , , 
203810,0.615384615,0.6,0, , , , , , , , , 
